(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0041504293>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0023667114>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00043261773>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00043089947>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0007597534>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0008365603>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0004389925>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0019682422>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0014936372>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00033010702>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.033478543>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00056898606>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.005245755>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0005799267>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=0.003059454>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0036110643>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.02073649>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0007369957>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.000514213>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00029837975>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0014214227>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00011018218>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=8.869181e-05>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0003777785>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00048016448>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0009999543>)
(2000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00049397>)
(3000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00074364804>)
(4000, <tf.Tensor: shape=(), dtype=float32, numpy=0.002802651>)
(5000, <tf.Tensor: shape=(), dtype=float32, numpy=9.377543e-05>)
(6000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0015662954>)
(7000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00040344993>)
(8000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0009070114>)
(9000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00041396177>)
(10000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00041876378>)
(11000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00029711638>)
(12000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0005793054>)
(13000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00028379826>)
(14000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00035333986>)
(15000, <tf.Tensor: shape=(), dtype=float32, numpy=0.00029487902>)
(1000, <tf.Tensor: shape=(), dtype=float32, numpy=0.0015679813>)
